protocol,num_uavs,seed,attempted,delivered,pdr,avg_latency_ms,avg_hops,throughput_pps,topology_changes_per_s,avg_link_lifetime_s,control_packets_per_s,route_discoveries,route_failures,stale_route_failures
shortest_path_oracle,5,2111,600,195,0.325,14.995484649447782,1.2153846153846153,1.625,0.125,43.0,0.0,0,0,0
shortest_path_oracle,5,3111,600,171,0.285,14.515719633903958,1.128654970760234,1.425,0.16666666666666666,36.375,0.0,0,0,0
shortest_path_oracle,5,4111,600,68,0.11333333333333333,14.006938349629486,1.0294117647058822,0.5666666666666667,0.075,19.166666666666668,0.0,0,0,0
shortest_path_oracle,5,5111,600,75,0.125,14.092183862388751,1,0.625,0.08333333333333333,27.2,0.0,0,0,0
shortest_path_oracle,5,6111,600,106,0.17666666666666667,14.881417485859336,1.1603773584905661,0.8833333333333333,0.16666666666666666,21.5,0.0,0,0,0
shortest_path_oracle,5,7111,600,74,0.12333333333333334,14.246995960384554,1.054054054054054,0.6166666666666667,0.075,34.8,0.0,0,0,0
shortest_path_oracle,5,8111,600,130,0.21666666666666667,15.13959396394804,1.2461538461538462,1.0833333333333333,0.15833333333333333,22.77777777777778,0.0,0,0,0
shortest_path_oracle,5,9111,600,169,0.2816666666666667,15.29203905020606,1.2899408284023668,1.4083333333333334,0.175,27.77777777777778,0.0,0,0,0
shortest_path_oracle,5,10111,600,224,0.37333333333333335,15.08206338301396,1.2589285714285714,1.8666666666666667,0.26666666666666666,43.625,0.0,0,0,0
shortest_path_oracle,5,11111,600,83,0.13833333333333334,15.658131207119148,1.3614457831325302,0.6916666666666667,0.1,20.0,0.0,0,0,0
shortest_path_oracle,5,12111,600,87,0.145,14.816199794201195,1.1839080459770115,0.725,0.1,31.8,0.0,0,0,0
shortest_path_oracle,5,13111,600,119,0.19833333333333333,14.547819289946247,1.1428571428571428,0.9916666666666667,0.10833333333333334,50.75,0.0,0,0,0
shortest_path_oracle,5,14111,600,64,0.10666666666666667,14.538677494162213,1.125,0.5333333333333333,0.15833333333333333,16.571428571428573,0.0,0,0,0
shortest_path_oracle,5,15111,600,189,0.315,15.68687319553209,1.3650793650793651,1.575,0.21666666666666667,31.555555555555557,0.0,0,0,0
shortest_path_oracle,5,16111,600,132,0.22,15.465716753688815,1.3484848484848484,1.1,0.1,31.0,0.0,0,0,0
shortest_path_oracle,5,17111,600,139,0.23166666666666666,14.789997256457058,1.1798561151079137,1.1583333333333334,0.15,33.125,0.0,0,0,0
shortest_path_oracle,5,18111,600,112,0.18666666666666668,15.183092354662007,1.2678571428571428,0.9333333333333333,0.08333333333333333,33.2,0.0,0,0,0
shortest_path_oracle,5,19111,600,87,0.145,14.80334697862671,1.160919540229885,0.725,0.125,24.857142857142858,0.0,0,0,0
shortest_path_oracle,5,20111,600,77,0.12833333333333333,14.86566557198917,1.1948051948051948,0.6416666666666667,0.1,17.0,0.0,0,0,0
shortest_path_oracle,5,21111,600,107,0.17833333333333334,14.196388590059831,1.0467289719626167,0.8916666666666667,0.1,32.333333333333336,0.0,0,0,0
shortest_path_oracle,5,22111,600,164,0.2733333333333333,14.55835570029572,1.1341463414634145,1.3666666666666667,0.13333333333333333,33.125,0.0,0,0,0
shortest_path_oracle,5,23111,600,88,0.14666666666666667,14.480451245547304,1.1022727272727273,0.7333333333333333,0.09166666666666666,27.166666666666668,0.0,0,0,0
shortest_path_oracle,5,24111,600,111,0.185,14.487416521742965,1.1261261261261262,0.925,0.09166666666666666,27.5,0.0,0,0,0
shortest_path_oracle,5,25111,600,166,0.27666666666666667,15.543058857691175,1.3674698795180722,1.3833333333333333,0.14166666666666666,28.22222222222222,0.0,0,0,0
shortest_path_oracle,5,26111,600,112,0.18666666666666668,14.294728396790688,1.0892857142857142,0.9333333333333333,0.09166666666666666,31.0,0.0,0,0,0
shortest_path_oracle,5,27111,600,130,0.21666666666666667,14.83233492200822,1.1846153846153846,1.0833333333333333,0.16666666666666666,27.875,0.0,0,0,0
shortest_path_oracle,5,28111,600,45,0.075,14.16336377214294,1.0444444444444445,0.375,0.1,21.0,0.0,0,0,0
shortest_path_oracle,5,29111,600,129,0.215,14.928081867413828,1.2325581395348837,1.075,0.15,28.571428571428573,0.0,0,0,0
shortest_path_oracle,5,30111,600,226,0.37666666666666665,15.07590165123879,1.2212389380530972,1.8833333333333333,0.19166666666666668,38.333333333333336,0.0,0,0,0
shortest_path_oracle,5,31111,600,126,0.21,15.512906608609807,1.3253968253968254,1.05,0.11666666666666667,31.666666666666668,0.0,0,0,0
aodv_like_reactive,5,2111,600,195,0.325,17.6659974699606,1.2615384615384615,1.625,0.125,43.0,18.916666666666668,444,38,0
aodv_like_reactive,5,3111,600,171,0.285,17.51513483858232,1.1871345029239766,1.425,0.16666666666666666,36.375,19.858333333333334,467,34,0
aodv_like_reactive,5,4111,600,68,0.11333333333333333,16.72090893786478,1.0294117647058822,0.5666666666666667,0.075,19.166666666666668,22.925,547,12,0
aodv_like_reactive,5,5111,600,75,0.125,16.38818386238875,1,0.625,0.08333333333333333,27.2,22.575,539,12,0
aodv_like_reactive,5,6111,600,106,0.17666666666666667,17.78471937265179,1.1603773584905661,0.8833333333333333,0.16666666666666666,21.5,21.875,519,23,0
aodv_like_reactive,5,7111,600,74,0.12333333333333334,17.48348244687104,1.1081081081081081,0.6166666666666667,0.075,34.8,22.833333333333332,544,17,0
aodv_like_reactive,5,8111,600,130,0.21666666666666667,17.79190165625573,1.2461538461538462,1.0833333333333333,0.15833333333333333,22.77777777777778,21.05,498,27,0
aodv_like_reactive,5,9111,600,169,0.2816666666666667,18.761565677424997,1.3964497041420119,1.4083333333333334,0.175,27.77777777777778,20.183333333333334,472,31,0
aodv_like_reactive,5,10111,600,224,0.37333333333333335,18.29768838301396,1.3258928571428572,1.8666666666666667,0.26666666666666666,43.625,18.466666666666665,429,51,0
aodv_like_reactive,5,11111,600,83,0.13833333333333334,18.626203496275775,1.3614457831325302,0.6916666666666667,0.1,20.0,22.6,537,20,0
