model,num_uavs,seed,pdr,latency_ms,hops,topology_changes_per_s,mean_link_reliability,mean_sinr_db,energy_mj_per_packet,throughput_pkt_s
binary,10,1000,0.5,18.087379003866115,1.8888888888888888,1.7,1.0,99.0,0.0,3.0
binary,10,1001,0.3388888888888889,17.56182018316421,1.7868852459016393,1.8,1.0,99.0,0.0,2.033333333333333
binary,10,1002,0.4722222222222222,18.407047742955285,1.964705882352941,2.2666666666666666,1.0,99.0,0.0,2.8333333333333335
binary,10,1003,0.5055555555555555,18.842711081502227,2.065934065934066,1.8,1.0,99.0,0.0,3.033333333333333
binary,10,1004,0.6277777777777778,17.721076989114056,1.823008849557522,2.1666666666666665,1.0,99.0,0.0,3.7666666666666666
binary,10,1005,0.4444444444444444,17.0076517212904,1.65,2.066666666666667,1.0,99.0,0.0,2.6666666666666665
binary,10,1006,0.43333333333333335,17.565255789756055,1.7564102564102564,2.033333333333333,1.0,99.0,0.0,2.6
binary,10,1007,0.46111111111111114,17.37425669557182,1.7108433734939759,2.3,1.0,99.0,0.0,2.7666666666666666
binary,10,1008,0.5722222222222222,17.21913012061929,1.7184466019417475,2.2333333333333334,1.0,99.0,0.0,3.433333333333333
binary,10,1009,0.36666666666666664,16.89342676281333,1.606060606060606,1.7333333333333334,1.0,99.0,0.0,2.2
binary,10,1010,0.4888888888888889,17.55294195036262,1.75,1.8666666666666667,1.0,99.0,0.0,2.933333333333333
binary,10,1011,0.5055555555555555,17.74335466189244,1.835164835164835,1.8,1.0,99.0,0.0,3.033333333333333
binary,10,1012,0.6555555555555556,17.062505960877864,1.7033898305084745,2.7333333333333334,1.0,99.0,0.0,3.933333333333333
binary,10,1013,0.5722222222222222,16.985610350970397,1.6504854368932038,2.933333333333333,1.0,99.0,0.0,3.433333333333333
binary,10,1014,0.5,17.50173764149045,1.8111111111111111,2.5,1.0,99.0,0.0,3.0
binary,10,1015,0.37777777777777777,16.83877946906355,1.6176470588235294,2.433333333333333,1.0,99.0,0.0,2.2666666666666666
binary,10,1016,0.45555555555555555,19.647500962497205,2.268292682926829,1.9,1.0,99.0,0.0,2.7333333333333334
binary,10,1017,0.49444444444444446,18.55385945906942,2.0112359550561796,2.033333333333333,1.0,99.0,0.0,2.966666666666667
binary,10,1018,0.5555555555555556,18.386679743081373,2.01,2.2333333333333334,1.0,99.0,0.0,3.3333333333333335
binary,10,1019,0.29444444444444445,16.805978548341805,1.5849056603773586,1.2333333333333334,1.0,99.0,0.0,1.7666666666666666
binary,10,1020,0.49444444444444446,17.73203700884909,1.8426966292134832,1.9666666666666666,1.0,99.0,0.0,2.966666666666667
binary,10,1021,0.5055555555555555,17.182882502136184,1.7252747252747254,2.3666666666666667,1.0,99.0,0.0,3.033333333333333
binary,10,1022,0.6166666666666667,17.30974190327357,1.7657657657657657,1.8,1.0,99.0,0.0,3.7
binary,10,1023,0.37777777777777777,17.635102962989688,1.8235294117647058,2.1666666666666665,1.0,99.0,0.0,2.2666666666666666
binary,10,1024,0.3611111111111111,16.448089461876997,1.523076923076923,2.1333333333333333,1.0,99.0,0.0,2.1666666666666665
binary,10,1025,0.55,17.420244552301394,1.7676767676767677,1.8666666666666667,1.0,99.0,0.0,3.3
binary,10,1026,0.5333333333333333,18.016356029720995,1.9166666666666667,1.7333333333333334,1.0,99.0,0.0,3.2
binary,10,1027,0.6555555555555556,18.498630571330324,2.016949152542373,2.4,1.0,99.0,0.0,3.933333333333333
binary,10,1028,0.4222222222222222,17.598838266304156,1.8289473684210527,1.4333333333333333,1.0,99.0,0.0,2.533333333333333
binary,10,1029,0.5388888888888889,19.09317303256917,2.1443298969072164,1.8333333333333333,1.0,99.0,0.0,3.2333333333333334
wireless,10,1000,0.8944444444444445,11.807820805699773,1.670807453416149,20.2,0.9180326866455798,24.328144590272835,0.28195744596273287,5.366666666666666
