protocol,num_uavs,communication_range_m,speed_profile,packets_per_step,mobility_model,seed,attempted,delivered,pdr,avg_latency_ms,avg_hops,throughput_pps,topology_changes_per_s,avg_link_lifetime_s,control_packets_per_s,route_failures,stale_route_failures,factor,level,duration_s,repetition
aodv_like_reactive,5,35.0,medium,5,random_waypoint,5100,150,28,0.18666666666666668,17.752989557219994,1.0357142857142858,0.9333333333333333,0.2,11.0,21.566666666666666,3,0,UAV count,5,30.0,1
aodv_like_reactive,5,35.0,medium,5,random_waypoint,5137,150,35,0.23333333333333334,20.50465184899209,1.2857142857142858,1.1666666666666667,0.23333333333333334,10.2,21.766666666666666,8,0,UAV count,5,30.0,2
aodv_like_reactive,5,35.0,medium,5,random_waypoint,5174,150,90,0.6,19.24047883180676,1.3,3.0,0.2,25.2,14.466666666666667,15,0,UAV count,5,30.0,3
aodv_like_reactive,5,35.0,medium,5,random_waypoint,5211,150,54,0.36,18.86926892853726,1.2777777777777777,1.8,0.26666666666666666,13.8,18.533333333333335,9,0,UAV count,5,30.0,4
aodv_like_reactive,5,35.0,medium,5,random_waypoint,5248,150,49,0.32666666666666666,19.061048989103806,1.3061224489795917,1.6333333333333333,0.3,12.0,19.166666666666668,10,0,UAV count,5,30.0,5
aodv_like_reactive,5,35.0,medium,5,random_waypoint,5285,150,24,0.16,20.767998698874802,1.5,0.8,0.16666666666666666,10.2,22.5,1,0,UAV count,5,30.0,6
aodv_like_reactive,5,35.0,medium,5,random_waypoint,5322,150,28,0.18666666666666668,19.3302123678475,1.4285714285714286,0.9333333333333333,0.13333333333333333,15.0,21.6,3,0,UAV count,5,30.0,7
aodv_like_reactive,5,35.0,medium,5,random_waypoint,5359,150,41,0.2733333333333333,18.48930436891954,1.146341463414634,1.3666666666666667,0.23333333333333334,15.75,20.033333333333335,7,0,UAV count,5,30.0,8
aodv_like_reactive,5,35.0,medium,5,random_waypoint,5396,150,23,0.15333333333333332,18.59579043554952,1.0869565217391304,0.7666666666666667,0.2,10.666666666666666,22.4,3,0,UAV count,5,30.0,9
aodv_like_reactive,5,35.0,medium,5,random_waypoint,5433,150,67,0.44666666666666666,19.97647665442722,1.4179104477611941,2.2333333333333334,0.26666666666666666,21.0,17.266666666666666,13,0,UAV count,5,30.0,10
aodv_like_reactive,5,35.0,medium,5,random_waypoint,5470,150,50,0.3333333333333333,18.58826340286513,1.16,1.6666666666666667,0.16666666666666666,16.6,19.166666666666668,6,0,UAV count,5,30.0,11
aodv_like_reactive,5,35.0,medium,5,random_waypoint,5507,150,11,0.07333333333333333,18.501450791508883,1,0.36666666666666664,0.06666666666666667,12.5,23.766666666666666,1,0,UAV count,5,30.0,12
aodv_like_reactive,5,35.0,medium,5,random_waypoint,5544,150,36,0.24,20.472855969625105,1.3333333333333333,1.2,0.3333333333333333,11.8,21.566666666666666,10,0,UAV count,5,30.0,13
aodv_like_reactive,5,35.0,medium,5,random_waypoint,5581,150,72,0.48,19.750945856073958,1.4305555555555556,2.4,0.43333333333333335,17.0,16.433333333333334,13,0,UAV count,5,30.0,14
aodv_like_reactive,5,35.0,medium,5,random_waypoint,5618,150,60,0.4,19.37561168120817,1.3333333333333333,2.0,0.3,13.666666666666666,17.966666666666665,8,0,UAV count,5,30.0,15
aodv_like_reactive,5,35.0,medium,5,random_waypoint,5655,150,79,0.5266666666666666,20.019646225264356,1.4683544303797469,2.6333333333333333,0.26666666666666666,22.2,15.733333333333333,15,0,UAV count,5,30.0,16
