factor,level,runs,protocol,num_uavs,communication_range_m,speed_profile,packets_per_step,mobility_model,duration_s,pdr_mean,pdr_std,pdr_ci95,avg_latency_ms_mean,avg_latency_ms_std,avg_latency_ms_ci95,avg_hops_mean,avg_hops_std,avg_hops_ci95,throughput_pps_mean,throughput_pps_std,throughput_pps_ci95,topology_changes_per_s_mean,topology_changes_per_s_std,topology_changes_per_s_ci95,avg_link_lifetime_s_mean,avg_link_lifetime_s_std,avg_link_lifetime_s_ci95,control_packets_per_s_mean,control_packets_per_s_std,control_packets_per_s_ci95,route_failures_mean,route_failures_std,route_failures_ci95
UAV count,10,30,aodv_like_reactive,10,35.0,medium,5,random_waypoint,30.0,0.5833333333333334,0.18196669309144467,0.0651159448469251,26.755717510775444,1.2079235414412783,0.43224988797409075,1.8441247747915357,0.2538156867673882,0.09082677703289381,2.9166666666666665,0.9098334654572233,0.3255797242346255,1.0711111111111111,0.2100416549333774,0.07516244091618167,15.78528760210689,1.9252702440516438,0.688949108747567,42.55555555555556,3.078467217412676,1.1016153458444944,24.0,8.839566224339448,3.163198148825905
UAV count,20,30,aodv_like_reactive,20,35.0,medium,5,random_waypoint,30.0,0.8675555555555555,0.07270858926389542,0.02601843451661946,32.4025806712728,1.7416837036277988,0.6232535089771772,2.3011071594535215,0.3433124748842427,0.12285279135445666,4.337777777777777,0.36354294631947714,0.13009217258309733,4.7011111111111115,0.6879634743341249,0.24618456757318535,16.031932720081453,0.8744362800784745,0.31291300412392536,98.3411111111111,3.7596331782154198,1.345367454440238,22.566666666666666,3.9100518854775363,1.3991940975452133
UAV count,30,30,aodv_like_reactive,30,35.0,medium,5,random_waypoint,30.0,0.9711111111111111,0.03414341326260374,0.01221806352097743,33.80932503530171,0.8444542835656141,0.30218408446195727,2.3390012198878676,0.17837106741441427,0.06382926672304426,4.855555555555555,0.1707170663130187,0.06109031760488715,10.522222222222222,0.9211991740460315,0.32964689081902415,15.74958103267268,0.5181427721159212,0.18541500974015057,151.84666666666666,2.5536181228291324,0.9138005094299757,14.2,3.3671844372535875,1.2049314760885639
UAV count,5,30,aodv_like_reactive,5,35.0,medium,5,random_waypoint,30.0,0.352,0.17464051747755324,0.062494306572863,19.430169852861226,1.061703256802511,0.3799256311099245,1.3167649507158616,0.2031701369333402,0.07270349977973854,1.76,0.8732025873877662,0.312471532864315,0.23666666666666666,0.07846711491195126,0.028079096454955453,15.590238095238096,4.079942334284981,1.4599886138746692,18.93111111111111,3.0188543326039237,1.0802831489823899,8.566666666666666,5.223840134147142,1.8693271844718258
UAV count,50,30,aodv_like_reactive,50,35.0,medium,5,random_waypoint,30.0,0.9957777777777778,0.007923645844800145,0.0028354402503610234,34.85265099195257,0.649644224889284,0.232472200265549,2.238658073011479,0.14007719665899182,0.05012598106278185,4.978888888888889,0.039618229224000684,0.014177201251805103,29.81222222222222,2.503277289932888,0.8957862737326066,15.610689728561667,0.46286495049521653,0.16563409531696482,255.75,3.000213913190893,1.0736127605623922,5.9,2.630720368106883,0.9413911935589502
Communication range,20 m,30,aodv_like_reactive,20,20.0,medium,5,random_waypoint,30.0,0.18866666666666668,0.07120527768979787,0.0254804813786928,32.31340056459348,2.71890960861206,0.9729493079768535,2.1770169765233107,0.4958399628477515,0.17743405194196818,0.9433333333333334,0.3560263884489894,0.12740240689346402,2.3555555555555556,0.41810861604948396,0.14961824672507834,10.169316494844214,0.9445746089606076,0.3380116827752395,100.50888888888889,1.503608261257089,0.5380593060631974,4.466666666666667,2.6617771265198686,0.9525047118275268
Communication range,35 m,30,aodv_like_reactive,20,35.0,medium,5,random_waypoint,30.0,0.8646666666666667,0.09341785991834825,0.03342915184540954,32.40615995732385,1.0750321114068913,0.38469530047384126,2.313475037693479,0.22015968869070304,0.07878313279615254,4.323333333333333,0.46708929959174134,0.16714575922704772,4.626666666666667,0.4778143085027505,0.1709836543762501,15.6227520582159,0.9618745320173964,0.34420238073476,98.18,2.422968003577463,0.8670479646927878,23.1,4.24548441653417,1.5192270872153166
Communication range,50 m,30,aodv_like_reactive,20,50.0,medium,5,random_waypoint,30.0,0.9982222222222222,0.0060479142621315705,0.0021642183239214264,28.948986981943808,0.8671210544937529,0.31029528426747793,1.604906013792235,0.13723493998856068,0.04910889257560693,4.9911111111111115,0.03023957131065789,0.010821091619607147,6.177777777777778,0.5633325398439173,0.20158596044013827,20.26942285461445,1.3009925747912336,0.46555421383512524,92.70222222222222,3.492552923854688,1.2497940128548792,24.066666666666666,3.609693208220231,1.2917121252660697
Communication range,75 m,30,aodv_like_reactive,20,75.0,medium,5,random_waypoint,30.0,1.0,0.0,0.0,26.9707858814948,0.4731436929222763,0.16931229605582104,1.1866666666666668,0.05588713311227887,0.019998953740194173,5.0,0.0,0.0,6.687777777777778,0.2917096301142712,0.10438695050798211,25.681566149827088,1.0254498985967961,0.3669525334878623,90.20333333333333,2.683657794333719,0.9603346082463432,22.233333333333334,3.979978628718686,1.424217061247299
UAV speed,high,30,aodv_like_reactive,20,35.0,high,5,random_waypoint,30.0,0.8735555555555555,0.07646366594305318,0.02736217144881251,34.1788353939409,1.2674460372042449,0.4535497395315673,2.284439991497049,0.24990331192782558,0.08942675167690502,4.3677777777777775,0.3823183297152659,0.13681085724406253,7.78,0.8765396962376888,0.31366570192969745,12.298946951833075,0.8964961988254647,0.320807044665371,101.09333333333333,2.491185995231035,0.8914594594922768,28.3,5.011366390860708,1.793294431915805
UAV speed,low,30,aodv_like_reactive,20,35.0,low,5,random_waypoint,30.0,0.7613333333333333,0.14199886675927925,0.05081364187662879,32.961669841791405,1.8681260012209624,0.6685003040720211,2.6808554658814714,0.39847986597510815,0.142594188720052,3.8066666666666666,0.7099943337963962,0.25406820938314395,2.171111111111111,0.3870245404253368,0.13849495311803098,21.258756936925185,1.4413042045026794,0.5157640856883289,98.86,2.6426127788328304,0.9456468380825257,15.866666666666667,4.644116287514129,1.6618756702277755
UAV speed,medium,30,aodv_like_reactive,20,35.0,medium,5,random_waypoint,30.0,0.876,0.07893156257721765,0.028245296917479505,32.08232893500512,1.2593856864792325,0.45066538006808565,2.2462238056928916,0.24621518215344182,0.08810697138691322,4.38,0.3946578128860883,0.14122648458739753,4.7555555555555555,0.534505417061843,0.19127030703520567,15.585780937591576,0.784228660054086,0.28063262187106663,97.77888888888889,3.241451868702305,1.1599386542696106,22.0,4.835215646155566,1.7302596974701965
